0,Split Temporary Variable
1,Extract Class
2,Introduce Assertion
3,Pull Up Constructor Body
4,Introduce Foreign Method
5,Extract Variable
6,Replace Parameter With Method Call
7,Replace Array With Object
8,Replace Exception With Test
9,Replace Magic Number With Symbolic Constant
10,Preserve Whole Object
11,Substitute Algorithm
12,Replace Parameter With Explicit Methods
13,Consolidate Conditional Expression
14,Replace Temp With Query
15,Remove Assignments To Parameters
16,Decompose Conditional
17,Replace Method With Method Object
18,Inline Temp
19,Inline Method
20,Replace Nested Conditional With Guard Clauses
21,Extract Method
22,Introduce Null Object
23,Replace Conditional With Polymorphism
24,Replace Error Code With Exception
25,Consolidate Duplicate Conditional Fragments